filename,subregion,moonalt,sunalt,moonphase,exp_time,srcdens,bkgmean,bkgmedian,bkgstd,cloudy
../augmented/20/flip_hor_flip_vert_AllSkyImage007580789.FIT,5,23.01554769,-25.86817833,0.975319465,8.2916,6.73E-05,15806.68352,15951.22217,477.7968117,1
../augmented/20/flip_hor_flip_vert_AllSkyImage007580789.FIT,6,23.01554769,-25.86817833,0.975319465,8.2916,8.06E-05,12885.18694,12497.23486,1701.921317,1
../augmented/20/flip_hor_flip_vert_AllSkyImage007580789.FIT,7,23.01554769,-25.86817833,0.975319465,8.2916,0.000524109,14173.15853,14149.63867,2259.971669,1
../augmented/20/flip_hor_flip_vert_AllSkyImage007580789.FIT,8,23.01554769,-25.86817833,0.975319465,8.2916,0.000564425,12045.70587,11800.43604,1219.913776,1
../augmented/20/flip_hor_flip_vert_AllSkyImage007580789.FIT,9,23.01554769,-25.86817833,0.975319465,8.2916,8.06E-05,16705.26712,16496.09668,1956.509738,1
../augmented/20/flip_hor_flip_vert_AllSkyImage007580790.FIT,1,23.02451508,-25.86996777,0.97530304,8.2916,0.000149484,18330.92262,18430.14453,1656.869029,1
../augmented/20/flip_hor_flip_vert_AllSkyImage007580790.FIT,2,23.02451508,-25.86996777,0.97530304,8.2916,0.000336338,18831.38768,18876.33008,1911.632018,1
../augmented/20/flip_hor_flip_vert_AllSkyImage007580790.FIT,3,23.02451508,-25.86996777,0.97530304,8.2916,0.000470873,18311.76297,18543.30469,1448.897679,1
../augmented/20/flip_hor_flip_vert_AllSkyImage007580790.FIT,4,23.02451508,-25.86996777,0.97530304,8.2916,0.000134535,13970.42392,13854.5542,1246.345435,1
../augmented/20/flip_hor_flip_vert_AllSkyImage007580790.FIT,5,23.02451508,-25.86996777,0.97530304,8.2916,0.00026907,16616.31493,16635.42773,929.4183859,1
../augmented/20/flip_hor_flip_vert_AllSkyImage007580790.FIT,6,23.02451508,-25.86996777,0.97530304,8.2916,0,12986.02927,12780.60156,1301.89088,1
../augmented/20/flip_hor_flip_vert_AllSkyImage007580790.FIT,7,23.02451508,-25.86996777,0.97530304,8.2916,0.000403161,13426.7819,13229.50977,1966.227169,1
../augmented/20/flip_hor_flip_vert_AllSkyImage007580790.FIT,8,23.02451508,-25.86996777,0.97530304,8.2916,0.000362845,11688.5509,11567.18848,1129.60749,1
../augmented/20/flip_hor_flip_vert_AllSkyImage007580790.FIT,9,23.02451508,-25.86996777,0.97530304,8.2916,0.000161264,16535.58094,16438.46094,1880.199198,1
../augmented/20/flip_hor_flip_vert_AllSkyImage007580791.FIT,1,23.03334424,-25.87160368,0.9752866,8.2916,0.00024914,17713.7961,17962.28906,1636.752228,1
../augmented/20/flip_hor_flip_vert_AllSkyImage007580791.FIT,2,23.03334424,-25.87160368,0.9752866,8.2916,0.00026907,17956.00047,18199.86816,1259.570578,1
../augmented/20/flip_hor_flip_vert_AllSkyImage007580791.FIT,3,23.03334424,-25.87160368,0.9752866,8.2916,0.000672676,17205.8115,17294.27734,1877.059758,1
../augmented/20/flip_hor_flip_vert_AllSkyImage007580791.FIT,4,23.03334424,-25.87160368,0.9752866,8.2916,6.73E-05,13229.6303,13322.28955,892.5329224,1
../augmented/20/flip_hor_flip_vert_AllSkyImage007580791.FIT,5,23.03334424,-25.87160368,0.9752866,8.2916,0.000336338,16678.79183,16853.08301,1085.072415,1
../augmented/20/flip_hor_flip_vert_AllSkyImage007580791.FIT,6,23.03334424,-25.87160368,0.9752866,8.2916,0.000161264,13096.58392,13037.92773,1179.743541,1
../augmented/20/flip_hor_flip_vert_AllSkyImage007580791.FIT,7,23.03334424,-25.87160368,0.9752866,8.2916,0.000564425,13165.55795,13258.22314,1984.055709,1
../augmented/20/flip_hor_flip_vert_AllSkyImage007580791.FIT,8,23.03334424,-25.87160368,0.9752866,8.2916,0.000322529,11119.94012,11021.1875,1418.274982,1
../augmented/20/flip_hor_flip_vert_AllSkyImage007580791.FIT,9,23.03334424,-25.87160368,0.9752866,8.2916,0.000120948,16734.77843,16727.18262,1882.988769,1
../augmented/20/flip_hor_flip_vert_AllSkyImage007580792.FIT,1,23.04202565,-25.87308446,0.975270162,8.2916,0.000298969,16775.05336,16765.34961,1934.193157,1
../augmented/20/flip_hor_flip_vert_AllSkyImage007580792.FIT,2,23.04202565,-25.87308446,0.975270162,8.2916,0.000336338,17563.99414,17637.04883,1397.539964,1
../augmented/20/flip_hor_flip_vert_AllSkyImage007580792.FIT,3,23.04202565,-25.87308446,0.975270162,8.2916,0.000470873,16321.77133,16804.6416,2240.40706,1
../augmented/20/flip_hor_flip_vert_AllSkyImage007580792.FIT,4,23.04202565,-25.87308446,0.975270162,8.2916,0.00026907,12075.81158,11980.7666,836.4352432,1
